danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_playlist,name,artist
0.633,0.537,6,-10.45,0,0.0544,0.0141,3.72e-05,0.103,0.889,117.907,audio_features,5uIRujGRZv5t4fGKkUTv4n,spotify:track:5uIRujGRZv5t4fGKkUTv4n,https://api.spotify.com/v1/tracks/5uIRujGRZv5t4fGKkUTv4n,https://api.spotify.com/v1/audio-analysis/5uIRujGRZv5t4fGKkUTv4n,197947,4,CHILL.,Feeling Lonely,boy pablo
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4,CHILL.,Passionfruit,Drake
0.776,0.574,5,-5.971,0,0.0351,0.431,7.9e-05,0.147,0.427,102.895,audio_features,2TmW432ldVYhIwAdJSlJEG,spotify:track:2TmW432ldVYhIwAdJSlJEG,https://api.spotify.com/v1/tracks/2TmW432ldVYhIwAdJSlJEG,https://api.spotify.com/v1/audio-analysis/2TmW432ldVYhIwAdJSlJEG,202090,4,CHILL.,have a great day,easy life
0.677,0.423,9,-8.226,0,0.123,0.226,0.0,0.281,0.422,118.036,audio_features,5O06k1mpaajgmj5zPFrZF0,spotify:track:5O06k1mpaajgmj5zPFrZF0,https://api.spotify.com/v1/tracks/5O06k1mpaajgmj5zPFrZF0,https://api.spotify.com/v1/audio-analysis/5O06k1mpaajgmj5zPFrZF0,121404,4,CHILL.,Now You Know,Will Paquin
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,CHILL.,Heat Waves,Glass Animals
0.7,0.513,0,-6.845,1,0.0698,0.684,5.23e-05,0.249,0.637,82.006,audio_features,3XHjBo5wg5tvVugQRXkP0P,spotify:track:3XHjBo5wg5tvVugQRXkP0P,https://api.spotify.com/v1/tracks/3XHjBo5wg5tvVugQRXkP0P,https://api.spotify.com/v1/audio-analysis/3XHjBo5wg5tvVugQRXkP0P,155845,4,CHILL.,daydreams,easy life
0.617,0.527,10,-7.381,0,0.229,0.591,0.0,0.104,0.453,79.867,audio_features,5W6CGaZLktffDggpidaIw4,spotify:track:5W6CGaZLktffDggpidaIw4,https://api.spotify.com/v1/tracks/5W6CGaZLktffDggpidaIw4,https://api.spotify.com/v1/audio-analysis/5W6CGaZLktffDggpidaIw4,213043,4,CHILL.,ALL DAY,Gaff
0.759,0.642,7,-8.16,0,0.0396,0.0365,0.00695,0.128,0.663,123.0,audio_features,3Jw0dL0zh6zAYHpXa0sbrA,spotify:track:3Jw0dL0zh6zAYHpXa0sbrA,https://api.spotify.com/v1/tracks/3Jw0dL0zh6zAYHpXa0sbrA,https://api.spotify.com/v1/audio-analysis/3Jw0dL0zh6zAYHpXa0sbrA,244862,4,CHILL.,Move Like This,Ric Wilson
0.779,0.605,5,-7.294,0,0.0315,0.758,0.665,0.0918,0.735,126.031,audio_features,2hhVlIZmGEGfNeVIYnMUAG,spotify:track:2hhVlIZmGEGfNeVIYnMUAG,https://api.spotify.com/v1/tracks/2hhVlIZmGEGfNeVIYnMUAG,https://api.spotify.com/v1/audio-analysis/2hhVlIZmGEGfNeVIYnMUAG,208947,4,CHILL.,The Sun,Myd
0.843,0.585,1,-14.268,1,0.0652,0.64,0.0456,0.131,0.835,91.937,audio_features,1BXastKgdI3AiFipVt69Fv,spotify:track:1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/tracks/1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/audio-analysis/1BXastKgdI3AiFipVt69Fv,279373,4,CHILL.,Jettin',Digable Planets
0.754,0.785,10,-8.178,0,0.18,0.0287,0.00144,0.319,0.821,94.123,audio_features,0XgpiStoxq1IJncYlPrvZ5,spotify:track:0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/tracks/0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/audio-analysis/0XgpiStoxq1IJncYlPrvZ5,296267,4,CHILL.,Runnin',The Pharcyde
0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,audio_features,2sXf2JdbB2GlNju00kw9WE,spotify:track:2sXf2JdbB2GlNju00kw9WE,https://api.spotify.com/v1/tracks/2sXf2JdbB2GlNju00kw9WE,https://api.spotify.com/v1/audio-analysis/2sXf2JdbB2GlNju00kw9WE,203123,4,CHILL.,Skate,Bruno Mars
0.452,0.689,5,-6.194,0,0.0422,0.383,0.011,0.273,0.342,206.733,audio_features,0yzbBhKzbPnAwxT1UNKfHS,spotify:track:0yzbBhKzbPnAwxT1UNKfHS,https://api.spotify.com/v1/tracks/0yzbBhKzbPnAwxT1UNKfHS,https://api.spotify.com/v1/audio-analysis/0yzbBhKzbPnAwxT1UNKfHS,229121,4,CHILL.,Treat Her Better,Mac DeMarco
0.729,0.286,2,-13.654,1,0.0355,0.283,0.0245,0.105,0.469,92.03,audio_features,556jf0hyPQuLNHuNWo12I5,spotify:track:556jf0hyPQuLNHuNWo12I5,https://api.spotify.com/v1/tracks/556jf0hyPQuLNHuNWo12I5,https://api.spotify.com/v1/audio-analysis/556jf0hyPQuLNHuNWo12I5,256000,4,CHILL.,Floated By,Peter Cat Recording Co.
0.52,0.652,3,-11.181,0,0.438,0.523,1.02e-05,0.159,0.611,92.654,audio_features,0VdmdhstW52cmau2xZ2b3z,spotify:track:0VdmdhstW52cmau2xZ2b3z,https://api.spotify.com/v1/tracks/0VdmdhstW52cmau2xZ2b3z,https://api.spotify.com/v1/audio-analysis/0VdmdhstW52cmau2xZ2b3z,232947,3,CHILL.,"What's Your World - 7"" Version",Gloria Ann Taylor
0.671,0.86,10,-6.887,0,0.0383,0.116,0.00139,0.15,0.79,97.037,audio_features,50kXxYwLylVddXQaiGMck1,spotify:track:50kXxYwLylVddXQaiGMck1,https://api.spotify.com/v1/tracks/50kXxYwLylVddXQaiGMck1,https://api.spotify.com/v1/audio-analysis/50kXxYwLylVddXQaiGMck1,156000,4,CHILL.,Woof,Still Woozy
0.64,0.853,2,-7.996,0,0.031,0.43,0.711,0.156,0.829,124.122,audio_features,4fjzDf54eBNOlW45mNe14U,spotify:track:4fjzDf54eBNOlW45mNe14U,https://api.spotify.com/v1/tracks/4fjzDf54eBNOlW45mNe14U,https://api.spotify.com/v1/audio-analysis/4fjzDf54eBNOlW45mNe14U,274760,4,CHILL.,Souk Eye,Gorillaz
0.836,0.812,2,-6.985,1,0.215,0.188,1.82e-06,0.0982,0.769,92.009,audio_features,7oFiFPltiQTBqVutyiSwvE,spotify:track:7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/tracks/7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/audio-analysis/7oFiFPltiQTBqVutyiSwvE,145707,4,CHILL.,Figaro,Madvillain
0.514,0.638,0,-5.033,1,0.0861,0.0204,0.0704,0.327,0.521,173.628,audio_features,0gSLaX91J2Cs9cWXqsRc4X,spotify:track:0gSLaX91J2Cs9cWXqsRc4X,https://api.spotify.com/v1/tracks/0gSLaX91J2Cs9cWXqsRc4X,https://api.spotify.com/v1/audio-analysis/0gSLaX91J2Cs9cWXqsRc4X,353347,4,CHILL.,Children Of The Internet - Ezra Collective Remix,Future Utopia
0.701,0.424,6,-14.709,0,0.524,0.423,0.0,0.208,0.6,86.057,audio_features,2AKNE7DnNm9reIwhCelnRJ,spotify:track:2AKNE7DnNm9reIwhCelnRJ,https://api.spotify.com/v1/tracks/2AKNE7DnNm9reIwhCelnRJ,https://api.spotify.com/v1/audio-analysis/2AKNE7DnNm9reIwhCelnRJ,226090,4,RAP 2.,Indiscretions,Jadon Woodard
0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,audio_features,5bJ1DrEM4hNCafcDd1oxHx,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,345133,4,RAP 2.,Self Care,Mac Miller
